Location,Latitude,Longitude
University College London,51.5246,-0.134
NA,NA,NA
James Hutton Institute,56.8859,-2.552903
University of Southampton,50.903432,-1.395121
University of Cambridge,52.205281,0.117816
University of Essex,51.8777,0.9472
University of York,53.948333,-1.053611
The University of Sheffield,53.381261,-1.48858
University of Hull,53.769824,-0.367909
UK Data service,51.8777,0.9472
University of South Wales,-33.9173,151.2313
University of Glasgow,55.8724,-4.29
Friedrich Schiller University Jena,50.9294,11.5897
University of the West of Scotland,55.7782,-4.1041
University of Edinburgh,55.921664,-3.177291
"City, University of London",51.528,-0.1025
UWE Bristol,51.5006,-2.5474
University of Bath,51.37967,-2.330335
University of Manchester,55.9445,-3.1892
Newcastle University,54.9792,-1.6147
Cardiff University,51.4866,-3.1789
University of Sussex,50.8677,-0.0875
University of Reading,51.440565,-0.947108
University of Kent,51.2967,1.063
University of Aberdeen,57.1648,-2.1015
University of Exeter,50.7371,-3.5351
University of Strathclyde,55.8621,-4.2424
University of Stirling,56.149213,-3.926794
UCLA,34.0689,-118.4452
ChurchMapped Limited,NA,NA
University of Birmingham,52.489471,-1.898575
Institute of Development Studies,50.866,-0.0901
Independent,NA,NA
King's College London,51.5115,-0.116
University of Leeds,53.797993,-1.54677
University of Oxford,51.7548,-1.2544
"Royal Holloway, University of London",51.4257,-0.5631
University,NA,NA
Queen Mary University of London,51.5241,-0.0404
University of Nottingham,52.9398,-1.193
Sheffield Hallam University,53.3785,-1.4663
University of Bristol,51.4584,-2.603
University of Warwick,52.3793,-1.5615
Birmingham City University,52.4833,-1.8849
University of St Andrews,56.3417,-2.7943
Russell group uni,NA,NA
Stirling,56.1165,-3.9369
Abertay University,56.4633,-2.9739
University of the West of England,51.5006,-2.5474
Lancaster University,54.0104,-2.7877
PhD student,NA,NA
Teesside University,54.5707,-1.2353
University of Portsmouth,50.7939,-1.0974
LSE,51.5144,-0.1165
Bristol,51.4545,-2.5879
The Open University,52.0249,-0.7082
Inner Voice Wellbeing Services,NA,NA
Nottingham,52.954,-1.155
Durham University,54.765,-1.5782
Central European University,47.5005,19.0496
Northumbria University,55.0042,-1.5716
Edinburgh Napier University,55.918,-3.2396
Newcastle,54.9783,-1.6178
Brunel University London,51.5321,-0.4727
Loughborough University,52.765,-1.2321